"Time (s) Run #12","Voltage (V) Run #12","Current (A) Run #12","Time (s) Run #13","Voltage (V) Run #13","Current (A) Run #13","Time (s) Run #15","Voltage (V) Run #15","Current (A) Run #15","Time (s) Run #16","Voltage (V) Run #16","Current (A) Run #16","Time (s) Run #18","Voltage (V) Run #18","Current (A) Run #18","Time (s) Run #19","Voltage (V) Run #19","Current (A) Run #19","Time (s) Run #21","Voltage (V) Run #21","Current (A) Run #21","Time (s) Run #22","Voltage (V) Run #22","Current (A) Run #22","Time (s) Run #24","Voltage (V) Run #24","Current (A) Run #24","Time (s) Run #25","Voltage (V) Run #25","Current (A) Run #25"
4.600,-0.6059,1.3351E-13,4.600,-0.6061,1.5814E-13,4.600,-0.7186,1.5265E-13,4.600,-0.7186,1.4338E-13,4.600,-1.2353,-5.0966E-13,4.600,-1.2353,-4.9562E-13,4.600,-1.4761,-1.3353E-13,4.600,-1.4763,-1.2024E-13,4.600,-1.9539,-2.0117E-13,4.600,-1.9545,-2.7915E-13
4.700,-0.6056,1.3561E-13,4.700,-0.6060,1.6149E-13,4.700,-0.7187,1.5638E-13,4.700,-0.7182,1.5028E-13,4.700,-1.2350,-5.0425E-13,4.700,-1.2355,-4.9569E-13,4.700,-1.4760,-1.3424E-13,4.700,-1.4761,-1.1730E-13,4.700,-1.9540,-1.9906E-13,4.700,-1.9551,-2.8334E-13
4.800,-0.6054,1.4110E-13,4.800,-0.6060,1.5621E-13,4.800,-0.7186,1.6262E-13,4.800,-0.7186,1.4799E-13,4.800,-1.2351,-4.9740E-13,4.800,-1.2356,-4.9911E-13,4.800,-1.4769,-1.3801E-13,4.800,-1.4760,-1.1093E-13,4.800,-1.9544,-1.9902E-13,4.800,-1.9546,-2.9165E-13
4.900,-0.6059,1.4993E-13,4.900,-0.6058,1.5710E-13,4.900,-0.7183,1.6547E-13,4.900,-0.7186,1.4535E-13,4.900,-1.2350,-4.9197E-13,4.900,-1.2356,-5.0159E-13,4.900,-1.4764,-1.3217E-13,4.900,-1.4764,-1.1055E-13,4.900,-1.9541,-1.9073E-13,4.900,-1.9548,-3.0701E-13
5.000,-0.6061,1.6095E-13,5.000,-0.6061,1.6167E-13,5.000,-0.7186,1.5854E-13,5.000,-0.7181,1.5955E-13,5.000,-1.2349,-4.8225E-13,5.000,-1.2359,-5.0845E-13,5.000,-1.4763,-1.3258E-13,5.000,-1.4762,-1.0751E-13,5.000,-1.9542,-1.8831E-13,5.000,-1.9550,-3.2181E-13
5.100,-0.6059,1.7002E-13,5.100,-0.6065,1.6942E-13,5.100,-0.7187,1.5372E-13,5.100,-0.7180,1.7639E-13,5.100,-1.2350,-4.7960E-13,5.100,-1.2356,-5.2252E-13,5.100,-1.4764,-1.3903E-13,5.100,-1.4766,-1.0582E-13,5.100,-1.9543,-1.9845E-13,5.100,-1.9556,-3.3279E-13
5.200,-0.6055,1.7151E-13,5.200,-0.6065,1.6871E-13,5.200,-0.7188,1.5735E-13,5.200,-0.7175,1.8835E-13,5.200,-1.2351,-4.7325E-13,5.200,-1.2353,-5.2612E-13,5.200,-1.4764,-1.4307E-13,5.200,-1.4762,-9.2029E-14,5.200,-1.9540,-1.9670E-13,5.200,-1.9555,-3.4581E-13
5.300,-0.6053,1.7007E-13,5.300,-0.6065,1.6976E-13,5.300,-0.7186,1.6324E-13,5.300,-0.7185,1.9531E-13,5.300,-1.2352,-4.6816E-13,5.300,-1.2353,-5.3156E-13,5.300,-1.4762,-1.3999E-13,5.300,-1.4762,-9.3689E-14,5.300,-1.9544,-1.9633E-13,5.300,-1.9555,-3.6978E-13
5.400,-0.6053,1.6646E-13,5.400,-0.6061,1.7778E-13,5.400,-0.7182,1.6703E-13,5.400,-0.7182,2.0602E-13,5.400,-1.2352,-4.6039E-13,5.400,-1.2355,-5.3065E-13,5.400,-1.4757,-1.3173E-13,5.400,-1.4763,-9.9744E-14,5.400,-1.9541,-1.9352E-13,5.400,-1.9556,-3.8372E-13
5.500,-0.6059,1.6545E-13,5.500,-0.6058,1.8330E-13,5.500,-0.7183,1.6989E-13,5.500,-0.7182,2.1290E-13,5.500,-1.2355,-4.6636E-13,5.500,-1.2354,-5.2802E-13,5.500,-1.4761,-1.2833E-13,5.500,-1.4762,-1.0791E-13,5.500,-1.9539,-1.8915E-13,5.500,-1.9552,-3.9371E-13
5.600,-0.6056,1.6697E-13,5.600,-0.6065,1.8101E-13,5.600,-0.7182,1.6727E-13,5.600,-0.7186,2.1713E-13,5.600,-1.2349,-4.7260E-13,5.600,-1.2354,-5.1250E-13,5.600,-1.4760,-1.2889E-13,5.600,-1.4762,-1.1741E-13,5.600,-1.9541,-1.8584E-13,5.600,-1.9554,-4.1011E-13
5.700,-0.6058,1.7335E-13,5.700,-0.6061,1.8010E-13,5.700,-0.7183,1.6525E-13,5.700,-0.7185,2.1716E-13,5.700,-1.2352,-4.8174E-13,5.700,-1.2356,-4.9025E-13,5.700,-1.4765,-1.2817E-13,5.700,-1.4766,-1.1682E-13,5.700,-1.9546,-1.8654E-13,5.700,-1.9554,-4.4034E-13
5.800,-0.6059,1.7214E-13,5.800,-0.6056,1.7477E-13,5.800,-0.7187,1.6213E-13,5.800,-0.7181,2.1990E-13,5.800,-1.2353,-4.8165E-13,5.800,-1.2357,-4.7820E-13,5.800,-1.4762,-1.2877E-13,5.800,-1.4766,-1.1719E-13,5.800,-1.9546,-1.8815E-13,5.800,-1.9555,-4.7997E-13
5.900,-0.6060,1.7286E-13,5.900,-0.6056,1.7101E-13,5.900,-0.7186,1.5416E-13,5.900,-0.7183,2.2552E-13,5.900,-1.2354,-4.8439E-13,5.900,-1.2355,-4.8359E-13,5.900,-1.4762,-1.3673E-13,5.900,-1.4765,-1.1523E-13,5.900,-1.9544,-1.8876E-13,5.900,-1.9552,-4.8489E-13
6.000,-0.6058,1.7671E-13,6.000,-0.6056,1.6686E-13,6.000,-0.7184,1.5474E-13,6.000,-0.7186,2.2452E-13,6.000,-1.2350,-4.7479E-13,6.000,-1.2354,-5.1184E-13,6.000,-1.4761,-1.3740E-13,6.000,-1.4764,-1.0687E-13,6.000,-1.9544,-1.9562E-13,6.000,-1.9557,-4.7347E-13
6.100,-0.6063,1.6866E-13,6.100,-0.6057,1.7196E-13,6.100,-0.7184,1.5281E-13,6.100,-0.7178,2.2274E-13,6.100,-1.2354,-4.7853E-13,6.100,-1.2352,-5.3348E-13,6.100,-1.4765,-1.4073E-13,6.100,-1.4765,-1.0925E-13,6.100,-1.9540,-1.9807E-13,6.100,-1.9555,-4.4656E-13
6.200,-0.6059,1.6343E-13,6.200,-0.6058,1.7109E-13,6.200,-0.7185,1.4813E-13,6.200,-0.7184,2.1702E-13,6.200,-1.2351,-4.7759E-13,6.200,-1.2356,-5.3917E-13,6.200,-1.4765,-1.4315E-13,6.200,-1.4762,-1.1760E-13,6.200,-1.9541,-2.0201E-13,6.200,-1.9553,-4.2998E-13
6.300,-0.6061,1.5049E-13,6.300,-0.6060,1.7108E-13,6.300,-0.7181,1.4569E-13,6.300,-0.7183,2.1188E-13,6.300,-1.2356,-4.8533E-13,6.300,-1.2353,-5.2668E-13,6.300,-1.4761,-1.4579E-13,6.300,-1.4765,-1.2600E-13,6.300,-1.9544,-2.0233E-13,6.300,-1.9557,-4.2906E-13
6.400,-0.6065,1.4198E-13,6.400,-0.6055,1.7406E-13,6.400,-0.7182,1.4626E-13,6.400,-0.7186,1.9985E-13,6.400,-1.2357,-4.9219E-13,6.400,-1.2348,-5.1708E-13,6.400,-1.4763,-1.4403E-13,6.400,-1.4763,-1.2600E-13,6.400,-1.9543,-2.0037E-13,6.400,-1.9557,-4.2920E-13
