"Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6","Time (s) Run #8","Voltage (V) Run #8","Current (A) Run #8","Time (s) Run #10","Voltage (V) Run #10","Current (A) Run #10"
8.600,-0.6005,3.8234E-13,8.600,-0.7154,3.7311E-13,8.600,-1.2304,3.1478E-13,8.600,-1.4761,-1.7501E-13,8.600,-1.9514,1.2684E-13
8.700,-0.6007,3.7614E-13,8.700,-0.7153,3.8351E-13,8.700,-1.2302,3.2325E-13,8.700,-1.4760,-1.7875E-13,8.700,-1.9516,1.2845E-13
8.800,-0.6008,3.6968E-13,8.800,-0.7157,3.8099E-13,8.800,-1.2302,3.3068E-13,8.800,-1.4759,-1.7866E-13,8.800,-1.9520,1.2272E-13
8.900,-0.6011,3.6323E-13,8.900,-0.7153,3.8131E-13,8.900,-1.2304,3.2979E-13,8.900,-1.4758,-1.8369E-13,8.900,-1.9518,1.2484E-13
9.000,-0.6007,3.6096E-13,9.000,-0.7158,3.7615E-13,9.000,-1.2297,3.2728E-13,9.000,-1.4760,-1.8459E-13,9.000,-1.9517,1.2727E-13
9.100,-0.6008,3.5316E-13,9.100,-0.7161,3.6416E-13,9.100,-1.2299,3.2784E-13,9.100,-1.4763,-1.8575E-13,9.100,-1.9518,1.2478E-13
9.200,-0.6013,3.5988E-13,9.200,-0.7156,3.5470E-13,9.200,-1.2303,3.5038E-13,9.200,-1.4761,-1.8367E-13,9.200,-1.9519,1.1294E-13
9.300,-0.6009,3.6993E-13,9.300,-0.7153,3.4515E-13,9.300,-1.2302,3.7891E-13,9.300,-1.4762,-1.8627E-13,9.300,-1.9515,1.0129E-13
9.400,-0.6007,3.8259E-13,9.400,-0.7160,3.3379E-13,9.400,-1.2301,3.9150E-13,9.400,-1.4764,-1.9244E-13,9.400,-1.9518,9.1016E-14
9.500,-0.6008,3.9302E-13,9.500,-0.7160,3.3510E-13,9.500,-1.2303,3.8640E-13,9.500,-1.4757,-1.8615E-13,9.500,-1.9517,9.6252E-14
9.600,-0.6009,4.0005E-13,9.600,-0.7162,3.3976E-13,9.600,-1.2302,3.7513E-13,9.600,-1.4756,-1.8602E-13,9.600,-1.9514,1.0063E-13
9.700,-0.6006,3.9695E-13,9.700,-0.7157,3.3484E-13,9.700,-1.2301,3.5636E-13,9.700,-1.4758,-1.9037E-13,9.700,-1.9515,1.1079E-13
9.800,-0.6004,3.9858E-13,9.800,-0.7157,3.2473E-13,9.800,-1.2304,3.4286E-13,9.800,-1.4762,-1.9048E-13,9.800,-1.9512,1.2294E-13
9.900,-0.6002,3.9602E-13,9.900,-0.7153,3.1881E-13,9.900,-1.2303,3.4048E-13,9.900,-1.4761,-1.8386E-13,9.900,-1.9514,1.2986E-13
10.000,-0.6002,3.9049E-13,10.000,-0.7159,3.1239E-13,10.000,-1.2303,3.3446E-13,10.000,-1.4756,-1.7594E-13,10.000,-1.9515,1.2791E-13
10.100,-0.6008,3.7986E-13,10.100,-0.7157,3.1520E-13,10.100,-1.2302,3.2461E-13,10.100,-1.4765,-1.8418E-13,10.100,-1.9522,1.2175E-13
10.200,-0.6006,3.7833E-13,10.200,-0.7155,3.2789E-13,10.200,-1.2304,3.1183E-13,10.200,-1.4760,-1.8485E-13,10.200,-1.9522,1.1273E-13
10.300,-0.6005,3.7455E-13,10.300,-0.7155,3.2461E-13,10.300,-1.2309,3.0050E-13,10.300,-1.4758,-1.8558E-13,10.300,-1.9520,1.1389E-13
10.400,-0.6007,3.8193E-13,10.400,-0.7156,3.0811E-13,10.400,-1.2306,3.0244E-13,10.400,-1.4759,-1.8918E-13,10.400,-1.9520,1.1389E-13
10.500,-0.6009,3.8528E-13,10.500,-0.7155,2.7384E-13,10.500,-1.2302,2.8566E-13,,,,10.500,-1.9516,1.1146E-13
10.600,-0.6007,3.8551E-13,10.600,-0.7157,2.4895E-13,,,,,,,10.600,-1.9514,1.1031E-13
10.700,-0.6010,3.8699E-13,,,,,,,,,,10.700,-1.9515,1.1167E-13
10.800,-0.6008,3.7614E-13,,,,,,,,,,,,
